{'01044099999': -10.0, '02293099999': -27.6}
         410333 function calls (405725 primitive calls) in 7.218 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      143    0.015    0.000    0.015    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.014    0.007 core.py:1(<module>)
        1    0.000    0.000    0.014    0.014 shutil.py:1(<module>)
     1169    0.005    0.000    0.014    0.000 response.py:450(_init_decoder)
25904/24887    0.012    0.000    0.013    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.013    0.006 models.py:1(<module>)
      282    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      167    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.010    0.010 _common.py:1(<module>)
     1173    0.004    0.000    0.010    0.000 contextlib.py:141(__exit__)
  584/558    0.008    0.000    0.010    0.000 {built-in method __new__ of type object at 0x00007FF9710CB3D0}
      179    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.010    0.010 filepost.py:1(<module>)
     1171    0.009    0.000    0.009    0.000 {method 'write' of '_io.BytesIO' objects}
        1    0.000    0.000    0.009    0.009 core.py:21(where)
     1190    0.004    0.000    0.009    0.000 <frozen _collections_abc>:804(get)
  142/139    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     2353    0.004    0.000    0.008    0.000 {built-in method builtins.next}
      292    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.008    0.008 _common.py:33(wrapper)
        1    0.000    0.000    0.008    0.008 _common.py:51(files)
        1    0.000    0.000    0.008    0.008 _common.py:107(from_package)
     1174    0.003    0.000    0.008    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.008    0.008 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.008    0.008 _adapters.py:149(_native)
        1    0.000    0.000    0.008    0.008 _adapters.py:144(_reader)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
        2    0.000    0.000    0.008    0.004 readers.py:1(<module>)
      151    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        2    0.008    0.004    0.008    0.004 models.py:909(text)
      415    0.004    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.007    0.007 ssl_.py:219(create_urllib3_context)
      201    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.007    0.007 queue.py:1(<module>)
        2    0.000    0.000    0.007    0.003 cookies.py:1(<module>)
       17    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.006    0.006 fields.py:1(<module>)
     2440    0.005    0.000    0.006    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.006    0.006 ssl.py:430(__new__)
        1    0.000    0.000    0.006    0.006 message.py:1(<module>)
        1    0.000    0.000    0.006    0.006 parse.py:1(<module>)
    83/77    0.001    0.000    0.006    0.000 typing.py:392(inner)
        2    0.000    0.000    0.006    0.003 _adapters.py:1(<module>)
       10    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
     1169    0.006    0.000    0.006    0.000 {method 'getvalue' of '_io.BytesIO' objects}
       17    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
       10    0.005    0.001    0.005    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.005    0.005 charset.py:1(<module>)
     6492    0.003    0.000    0.005    0.000 _parser.py:261(get)
     1174    0.004    0.000    0.005    0.000 contextlib.py:104(__init__)
        6    0.000    0.000    0.005    0.001 typing.py:2809(__new__)
        1    0.000    0.000    0.005    0.005 bz2.py:1(<module>)
        7    0.000    0.000    0.005    0.001 typing.py:2790(_make_nmtuple)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.005    0.005 error.py:1(<module>)
     1197    0.004    0.000    0.005    0.000 _collections.py:257(__getitem__)
      446    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.005    0.005 base64mime.py:1(<module>)
       16    0.002    0.000    0.005    0.000 enum.py:1708(convert_class)
     1171    0.003    0.000    0.004    0.000 response.py:252(put)
     5879    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
       44    0.002    0.000    0.004    0.000 <frozen abc>:105(__new__)
       17    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       16    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
     2342    0.003    0.000    0.004    0.000 response.py:741(_error_catcher)
       10    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
        1    0.000    0.000    0.004    0.004 _parseaddr.py:1(<module>)
10950/10942    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.004    0.004 decoder.py:1(<module>)
        1    0.000    0.000    0.004    0.004 idna.py:1(<module>)
       71    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
      151    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
