{'01044099999': -10.0, '02293099999': -27.6}
         330971 function calls (326426 primitive calls) in 3.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      323    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      373    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.001    0.001 _meta.py:8(PackageMetadata)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
     1326    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       46    0.000    0.000    0.001    0.000 functools.py:516(decorating_function)
      477    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1569(_IPv4Constants)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      362    0.000    0.000    0.001    0.000 typing.py:1161(_is_dunder)
      177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(exec_module)
      177    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
       15    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1127    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.001    0.001 timeout.py:1(<module>)
       15    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
       10    0.000    0.000    0.001    0.000 enum.py:1414(_missing_)
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      530    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
      677    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      442    0.000    0.000    0.001    0.000 {built-in method from_bytes}
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        1    0.000    0.000    0.001    0.001 utils.py:268(extract_zipped_paths)
      288    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
       55    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
      183    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      200    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
       44    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      338    0.001    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.001    0.001 _adapters.py:40(CompatibilityFiles)
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
     2075    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        9    0.000    0.000    0.001    0.000 __init__.py:2149(getLogger)
       50    0.000    0.000    0.001    0.000 ipaddress.py:1920(__init__)
       43    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
      381    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      166    0.001    0.000    0.001    0.000 {built-in method nt._path_splitroot}
     1054    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      574    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
       45    0.000    0.000    0.000    0.000 typing.py:1481(<genexpr>)
      906    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      181    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 typing.py:2844(NamedTuple)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
       26    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      425    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
        1    0.000    0.000    0.000    0.000 load_cache.py:28(download_all_data)
        4    0.000    0.000    0.000    0.000 functools.py:850(register)
      269    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
